station_id,station_name,station_number,full_station_name,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,anl_data_type,parameter,fdr_result,fdr_text_result,fdr_date_result,fdr_reporting_limit,uns_name,mth_name,fdr_footnote
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0082,11-07-1968 12:00,1,Feet,,pH,7.5,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0087,17-07-1968 14:45,1,Feet,,DissolvedOxygen,8.4,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0087,17-07-1968 14:45,1,Feet,,ElectricalConductance,523,,,1,uS/cm,Std Method 2510-B (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0087,17-07-1968 14:45,1,Feet,,WaterTemperature,20.6,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0087,17-07-1968 14:45,1,Feet,,pH,7.9,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0088,23-07-1968 08:50,1,Feet,,DissolvedOxygen,7.4,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0088,23-07-1968 08:50,1,Feet,,WaterTemperature,22.8,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0088,23-07-1968 08:50,1,Feet,,pH,7.7,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0089,30-07-1968 08:35,1,Feet,,DissolvedOxygen,7.2,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0089,30-07-1968 08:35,1,Feet,,ElectricalConductance,540,,,1,uS/cm,Std Method 2510-B (Field),
